================================================================================
SLIPCASE: SCHOLARLY PAPER SOURCE MAP
Paper: The Knife and the Actuator: Language Games, Direction of Fit, and the Operative Limits of Description
Author: Watson Hartsoe | Date: 2026-09-07
================================================================================

RULE: Every substantive claim traces: PAPER CLAIM -> ZETTEL -> SOURCE -> CITEKEY

SECTION / CLAIM                               | ZETTEL ID                              | CITEKEY               
--------------------------------------------------------------------------------------------------------------
§1: Text as actuator in LLM agent frameworks  | 20260907-HARTSOE-2026-LISTENER-WITH-ACTUATORS | hartsoe2026world      
§1: The knife schema as dimensional reduction | 20260907-HARTSOE-2026-THE-KNIFE-SCHEMA | hartsoe2026worldknife 
§1: The ekphrastic illusion in AI reasoning   | 20260907-HARTSOE-2026-THE-LEVER-APERTURE | hartsoe2026worldlever 
§2: Anscombe's shopping list vs detective log | 20260907-ANSCOMBE-1957-SHOPPING-LIST   | anscombe1957intention 
§2: Direction of fit taxonomy (Assertive vs Directive) | 20260907-SEARLE-1975-ILLOCUTIONARY-TAXONOMY | searle1975taxonomy    
§2: Doctrine of infelicities and performative misfire | 20260907-AUSTIN-1962-INFELICITY-DOCTRINE | austin1962how         
§2: Commitment machines and breakdown networks | 20260907-WINOGRAD-1986-COMMITMENT-MACHINE | winograd1986understanding
§3: Allographic compliance classes in notation | 20260907-GOODMAN-1968-ALLOGRAPHIC-SCORE | goodman1968languages  
§3: Graphic scores as material confrontation  | 20260907-CARDEW-1971-TREATISE-HANDBOOK | cardew1971treatise    
§3: Indeterminacy and silence in performance  | 20260907-CAGE-1961-INDETERMINACY-CHANCE | cage1961silence       
§4: Failure of STRIPS means-ends search trees | 20260907-FIKES-1971-STRIPS-PLANNING    | fikes1971strips       
§4: Deictic representation without world models | 20260907-AGRE-1987-DEICTIC-REPRESENTATION | agre1987pengi         
§4: Plans as retrospective situated accounts  | 20260907-SUCHMAN-1987-SITUATED-ACTIONS | suchman1987plans      
§4: Distributed cognition and navigation tools | 20260907-HUTCHINS-1995-DISTRIBUTED-NAV-COGNITION | hutchins1995cognition 
§4: Gesture growth points and imagistic space | 20260907-MCNEILL-1992-GROWTH-POINT-GESTURE | mcneill1992hand       
§4: Visible action as utterance substrate     | 20260907-KENDON-2004-GESTURE-UTTERANCE | kendon2004gesture     
§5: Aramis and failure of uncompromised blueprints | 20260907-LATOUR-1996-ARAMIS-NEGOTIATION | latour1996aramis      
§5: Material contract and pigment scarcity    | 20260907-BAXANDALL-1972-COMMISSION-CONTRACT | baxandall1972painting 
§5: Fluid text revision and editorial apparatus | 20260907-BRYANT-2002-FLUID-TEXT-REVISION | bryant2002fluid       
§5: Social textual criticism                  | 20260907-MCGANN-1983-SOCIAL-TEXT-EDIT  | mcgann1983critique    
§5: Lipogrammatic exclusion forcing invention | 20260907-PEREC-1969-LIPOGRAM-DISPARITION | perec1969disparition  
§5: Oulipian constraint and clinamen error    | 20260907-QUENEAU-1960-OULIPO-CLINAMEN  | mottex1986oulipo      
§6: Operative pragmatics of the aperture      | COMPILER CONNECTIVE SYNTHESIS          | hartsoe2026world      
